category,rank,general_id,display_name,value,ci_low,ci_high
squander_index,9,ulysses-s-grant,Ulysses S. Grant,0.0,,
squander_index,10,robert-e-lee,Robert E. Lee,0.16666666666666666,,
squander_index,11,scipio-africanus,Scipio Africanus,0.2,,
squander_index,12,douglas-macarthur,Douglas MacArthur,0.2,,
squander_index,13,alexander-the-great,Alexander the Great,0.2222222222222222,,
squander_index,14,napoleon-bonaparte,Napoleon Bonaparte,0.2727272727272727,,
squander_index,15,hannibal-barca,Hannibal Barca,0.3333333333333333,,
squander_index,16,wellington,Duke of Wellington,0.3888888888888889,,
squander_index,17,tokugawa-ieyasu,Tokugawa Ieyasu,0.4,,
squander_index,18,frederick-the-great,Frederick the Great,0.4444444444444444,,
squander_index,19,erwin-rommel,Erwin Rommel,0.5,,
longevity_adjusted_value,1,ulysses-s-grant,Ulysses S. Grant,2.1,,
longevity_adjusted_value,2,robert-e-lee,Robert E. Lee,1.75,,
longevity_adjusted_value,3,dwight-d-eisenhower,Dwight D. Eisenhower,1.5,,
longevity_adjusted_value,4,wellington,Duke of Wellington,1.3846153846153846,,
longevity_adjusted_value,5,erwin-rommel,Erwin Rommel,1.125,,
longevity_adjusted_value,6,erich-von-manstein,Erich von Manstein,1.0,,
longevity_adjusted_value,7,alexander-the-great,Alexander the Great,1.0,,
longevity_adjusted_value,8,douglas-macarthur,Douglas MacArthur,1.0,,
longevity_adjusted_value,9,georgy-zhukov,Georgy Zhukov,0.7142857142857143,,
longevity_adjusted_value,10,scipio-africanus,Scipio Africanus,0.625,,
longevity_adjusted_value,11,napoleon-bonaparte,Napoleon Bonaparte,0.575,,
longevity_adjusted_value,12,julius-caesar,Julius Caesar,0.5714285714285714,,
longevity_adjusted_value,13,frederick-the-great,Frederick the Great,0.475,,
longevity_adjusted_value,14,hannibal-barca,Hannibal Barca,0.35294117647058826,,
longevity_adjusted_value,15,genghis-khan,Genghis Khan,0.34782608695652173,,
longevity_adjusted_value,16,subutai,Subutai,0.25,,
longevity_adjusted_value,17,george-washington,George Washington,0.25,,
longevity_adjusted_value,18,saladin,Saladin,0.15,,
longevity_adjusted_value,19,tokugawa-ieyasu,Tokugawa Ieyasu,0.10869565217391304,,
